fecha,fecha_extraccion,departamento,precio_chacra,precio_mayorista,diferencia_en_soles,porcentaje,producto,categoria,fuente,ibc_pct,zscore,flag_outlier
2024-06-02,2026-04-29 20:30:00,CUSCO,1.64,2.23,0.59,35.98,Choclo,CHOCLO PARDO,manual_upload,35.98,1.06,False
2024-06-09,2026-04-29 20:30:00,CUSCO,1.79,2.56,0.77,43.02,Choclo,CHOCLO PARDO,manual_upload,43.02,-0.62,False
2024-06-16,2026-04-29 20:30:00,CUSCO,1.87,2.8,0.93,49.73,Choclo,CHOCLO PARDO,manual_upload,49.73,-0.34,False
2024-06-23,2026-04-29 20:30:00,CUSCO,1.96,2.59,0.63,32.14,Choclo,CHOCLO PARDO,manual_upload,32.14,1.05,False
2024-06-30,2026-04-29 20:30:00,CUSCO,2.29,3.46,1.17,51.09,Choclo,CHOCLO PARDO,manual_upload,51.09,-0.55,False
2024-07-07,2026-04-29 20:30:00,CUSCO,1.7,2.87,1.17,68.82,Choclo,CHOCLO PARDO,manual_upload,68.82,-0.99,False
2024-07-14,2026-04-29 20:30:00,CUSCO,2.01,2.54,0.53,26.37,Choclo,CHOCLO PARDO,manual_upload,26.37,0.17,False
2024-07-21,2026-04-29 20:30:00,CUSCO,2.09,2.84,0.75,35.89,Choclo,CHOCLO PARDO,manual_upload,35.89,1.31,False
2024-07-28,2026-04-29 20:30:00,CUSCO,1.55,2.12,0.57,36.77,Choclo,CHOCLO PARDO,manual_upload,36.77,0.59,False
2024-08-04,2026-04-29 20:30:00,CUSCO,2.11,2.67,0.56,26.54,Choclo,CHOCLO PARDO,manual_upload,26.54,0.21,False
2024-08-11,2026-04-29 20:30:00,CUSCO,1.67,2.0,0.33,19.76,Choclo,CHOCLO PARDO,manual_upload,19.76,-1.21,False
2024-08-18,2026-04-29 20:30:00,CUSCO,1.57,2.42,0.85,54.14,Choclo,CHOCLO PARDO,manual_upload,54.14,0.35,False
2024-08-25,2026-04-29 20:30:00,CUSCO,2.45,3.2,0.75,30.61,Choclo,CHOCLO PARDO,manual_upload,30.61,1.47,False
2024-09-01,2026-04-29 20:30:00,CUSCO,2.47,2.82,0.35,14.17,Choclo,CHOCLO PARDO,manual_upload,14.17,-1.08,False
2024-09-08,2026-04-29 20:30:00,CUSCO,2.31,2.86,0.55,23.81,Choclo,CHOCLO PARDO,manual_upload,23.81,0.05,False
2024-09-15,2026-04-29 20:30:00,CUSCO,1.8,2.92,1.12,62.22,Choclo,CHOCLO PARDO,manual_upload,62.22,1.13,False
2024-09-22,2026-04-29 20:30:00,CUSCO,1.6,2.12,0.52,32.5,Choclo,CHOCLO PARDO,manual_upload,32.5,0.72,False
2024-09-29,2026-04-29 20:30:00,CUSCO,2.18,2.61,0.43,19.72,Choclo,CHOCLO PARDO,manual_upload,19.72,0.59,False
2024-10-06,2026-04-29 20:30:00,CUSCO,1.94,2.68,0.74,38.14,Choclo,CHOCLO PARDO,manual_upload,38.14,0.61,False
2024-10-13,2026-04-29 20:30:00,CUSCO,1.62,2.81,1.19,73.46,Choclo,CHOCLO PARDO,manual_upload,73.46,-0.42,False
2024-10-20,2026-04-29 20:30:00,CUSCO,2.0,2.52,0.52,26.0,Choclo,CHOCLO PARDO,manual_upload,26.0,-0.62,False
2024-10-27,2026-04-29 20:30:00,CUSCO,1.53,2.43,0.9,58.82,Choclo,CHOCLO PARDO,manual_upload,58.82,0.93,False
2024-11-03,2026-04-29 20:30:00,CUSCO,2.41,3.4,0.99,41.08,Choclo,CHOCLO PARDO,manual_upload,41.08,0.93,False
2024-11-10,2026-04-29 20:30:00,CUSCO,1.76,2.27,0.51,28.98,Choclo,CHOCLO PARDO,manual_upload,28.98,1.1,False
2024-11-17,2026-04-29 20:30:00,CUSCO,2.16,3.12,0.96,44.44,Choclo,CHOCLO PARDO,manual_upload,44.44,1.24,False
2024-11-24,2026-04-29 20:30:00,CUSCO,1.81,2.44,0.63,34.81,Choclo,CHOCLO PARDO,manual_upload,34.81,0.03,False
2024-12-01,2026-04-29 20:30:00,CUSCO,2.02,2.89,0.87,43.07,Choclo,CHOCLO PARDO,manual_upload,43.07,0.0,False
2024-12-08,2026-04-29 20:30:00,CUSCO,2.05,2.92,0.87,42.44,Choclo,CHOCLO PARDO,manual_upload,42.44,0.89,False
2024-12-15,2026-04-29 20:30:00,CUSCO,1.68,2.46,0.78,46.43,Choclo,CHOCLO PARDO,manual_upload,46.43,0.45,False
2024-12-22,2026-04-29 20:30:00,CUSCO,2.47,2.85,0.38,15.38,Choclo,CHOCLO PARDO,manual_upload,15.38,0.61,False
2024-12-29,2026-04-29 20:30:00,CUSCO,2.28,3.33,1.05,46.05,Choclo,CHOCLO PARDO,manual_upload,46.05,0.89,False
2025-01-05,2026-04-29 20:30:00,CUSCO,2.44,3.03,0.59,24.18,Choclo,CHOCLO PARDO,manual_upload,24.18,1.17,False
2025-01-12,2026-04-29 20:30:00,CUSCO,2.39,2.86,0.47,19.67,Choclo,CHOCLO PARDO,manual_upload,19.67,-0.49,False
2025-01-19,2026-04-29 20:30:00,CUSCO,2.1,2.44,0.34,16.19,Choclo,CHOCLO PARDO,manual_upload,16.19,-0.37,False
2025-01-26,2026-04-29 20:30:00,CUSCO,2.42,3.25,0.83,34.3,Choclo,CHOCLO PARDO,manual_upload,34.3,-1.22,False
2025-02-02,2026-04-29 20:30:00,CUSCO,1.59,2.5,0.91,57.23,Choclo,CHOCLO PARDO,manual_upload,57.23,0.23,False
2025-02-09,2026-04-29 20:30:00,CUSCO,1.7,2.01,0.31,18.24,Choclo,CHOCLO PARDO,manual_upload,18.24,-1.39,False
2025-02-16,2026-04-29 20:30:00,CUSCO,1.55,2.31,0.76,49.03,Choclo,CHOCLO PARDO,manual_upload,49.03,-0.1,False
2025-02-23,2026-04-29 20:30:00,CUSCO,1.83,2.33,0.5,27.32,Choclo,CHOCLO PARDO,manual_upload,27.32,0.13,False
2025-03-02,2026-04-29 20:30:00,CUSCO,1.89,2.77,0.88,46.56,Choclo,CHOCLO PARDO,manual_upload,46.56,-0.64,False
2025-03-09,2026-04-29 20:30:00,CUSCO,1.77,2.23,0.46,25.99,Choclo,CHOCLO PARDO,manual_upload,25.99,0.27,False
2025-03-16,2026-04-29 20:30:00,CUSCO,2.33,3.25,0.92,39.48,Choclo,CHOCLO PARDO,manual_upload,39.48,-1.41,False
2025-03-23,2026-04-29 20:30:00,CUSCO,1.86,2.51,0.65,34.95,Choclo,CHOCLO PARDO,manual_upload,34.95,-1.39,False
2025-03-30,2026-04-29 20:30:00,CUSCO,1.78,2.92,1.14,64.04,Choclo,CHOCLO PARDO,manual_upload,64.04,0.97,False
2025-04-06,2026-04-29 20:30:00,CUSCO,2.04,2.46,0.42,20.59,Choclo,CHOCLO PARDO,manual_upload,20.59,-0.42,False
2025-04-13,2026-04-29 20:30:00,CUSCO,1.64,2.25,0.61,37.2,Choclo,CHOCLO PARDO,manual_upload,37.2,-1.12,False
2025-04-20,2026-04-29 20:30:00,CUSCO,2.3,2.7,0.4,17.39,Choclo,CHOCLO PARDO,manual_upload,17.39,0.07,False
2025-04-27,2026-04-29 20:30:00,CUSCO,1.57,2.7,1.13,71.97,Choclo,CHOCLO PARDO,manual_upload,71.97,0.81,False
2025-05-04,2026-04-29 20:30:00,CUSCO,2.49,3.58,1.09,43.78,Choclo,CHOCLO PARDO,manual_upload,43.78,-0.85,False
2025-05-11,2026-04-29 20:30:00,CUSCO,2.27,2.8,0.53,23.35,Choclo,CHOCLO PARDO,manual_upload,23.35,0.37,False
2025-05-18,2026-04-29 20:30:00,CUSCO,1.7,2.59,0.89,52.35,Choclo,CHOCLO PARDO,manual_upload,52.35,-1.24,False
2025-05-25,2026-04-29 20:30:00,CUSCO,1.51,2.55,1.04,68.87,Choclo,CHOCLO PARDO,manual_upload,68.87,-1.34,False
2025-06-01,2026-04-29 20:30:00,CUSCO,2.32,3.12,0.8,34.48,Choclo,CHOCLO PARDO,manual_upload,34.48,0.09,False
2025-06-08,2026-04-29 20:30:00,CUSCO,2.21,2.99,0.78,35.29,Choclo,CHOCLO PARDO,manual_upload,35.29,0.12,False
2025-06-15,2026-04-29 20:30:00,CUSCO,2.23,2.75,0.52,23.32,Choclo,CHOCLO PARDO,manual_upload,23.32,0.41,False
2025-06-22,2026-04-29 20:30:00,CUSCO,2.27,2.65,0.38,16.74,Choclo,CHOCLO PARDO,manual_upload,16.74,0.68,False
2025-06-29,2026-04-29 20:30:00,CUSCO,1.57,2.68,1.11,70.7,Choclo,CHOCLO PARDO,manual_upload,70.7,1.43,False
2025-07-06,2026-04-29 20:30:00,CUSCO,1.86,2.97,1.11,59.68,Choclo,CHOCLO PARDO,manual_upload,59.68,0.05,False
2025-07-13,2026-04-29 20:30:00,CUSCO,1.62,2.49,0.87,53.7,Choclo,CHOCLO PARDO,manual_upload,53.7,-0.53,False
2025-07-20,2026-04-29 20:30:00,CUSCO,2.36,2.97,0.61,25.85,Choclo,CHOCLO PARDO,manual_upload,25.85,0.89,False
2025-07-27,2026-04-29 20:30:00,CUSCO,2.12,2.73,0.61,28.77,Choclo,CHOCLO PARDO,manual_upload,28.77,-0.69,False
2025-08-03,2026-04-29 20:30:00,CUSCO,1.83,2.78,0.95,51.91,Choclo,CHOCLO PARDO,manual_upload,51.91,-0.18,False
2025-08-10,2026-04-29 20:30:00,CUSCO,1.56,2.67,1.11,71.15,Choclo,CHOCLO PARDO,manual_upload,71.15,-1.26,False
2025-08-17,2026-04-29 20:30:00,CUSCO,1.81,2.91,1.1,60.77,Choclo,CHOCLO PARDO,manual_upload,60.77,-1.42,False
2025-08-24,2026-04-29 20:30:00,CUSCO,1.83,2.83,1.0,54.64,Choclo,CHOCLO PARDO,manual_upload,54.64,1.39,False
2025-08-31,2026-04-29 20:30:00,CUSCO,2.23,3.11,0.88,39.46,Choclo,CHOCLO PARDO,manual_upload,39.46,1.01,False
2025-09-07,2026-04-29 20:30:00,CUSCO,2.14,2.52,0.38,17.76,Choclo,CHOCLO PARDO,manual_upload,17.76,0.59,False
2025-09-14,2026-04-29 20:30:00,CUSCO,2.39,2.84,0.45,18.83,Choclo,CHOCLO PARDO,manual_upload,18.83,-0.27,False
2025-09-21,2026-04-29 20:30:00,CUSCO,1.97,3.08,1.11,56.35,Choclo,CHOCLO PARDO,manual_upload,56.35,-0.98,False
2025-09-28,2026-04-29 20:30:00,CUSCO,1.62,2.47,0.85,52.47,Choclo,CHOCLO PARDO,manual_upload,52.47,-1.03,False
2025-10-05,2026-04-29 20:30:00,CUSCO,2.21,2.52,0.31,14.03,Choclo,CHOCLO PARDO,manual_upload,14.03,-0.75,False
2025-10-12,2026-04-29 20:30:00,CUSCO,2.26,2.65,0.39,17.26,Choclo,CHOCLO PARDO,manual_upload,17.26,0.15,False
2025-10-19,2026-04-29 20:30:00,CUSCO,2.06,2.96,0.9,43.69,Choclo,CHOCLO PARDO,manual_upload,43.69,0.64,False
2025-10-26,2026-04-29 20:30:00,CUSCO,2.27,2.57,0.3,13.22,Choclo,CHOCLO PARDO,manual_upload,13.22,0.48,False
2025-11-02,2026-04-29 20:30:00,CUSCO,1.99,2.43,0.44,22.11,Choclo,CHOCLO PARDO,manual_upload,22.11,-0.66,False
2025-11-09,2026-04-29 20:30:00,CUSCO,2.02,2.81,0.79,39.11,Choclo,CHOCLO PARDO,manual_upload,39.11,1.36,False
2025-11-16,2026-04-29 20:30:00,CUSCO,1.93,2.85,0.92,47.67,Choclo,CHOCLO PARDO,manual_upload,47.67,0.71,False
2025-11-23,2026-04-29 20:30:00,CUSCO,1.53,2.42,0.89,58.17,Choclo,CHOCLO PARDO,manual_upload,58.17,0.16,False
2025-11-30,2026-04-29 20:30:00,CUSCO,1.61,2.11,0.5,31.06,Choclo,CHOCLO PARDO,manual_upload,31.06,0.34,False
2025-12-07,2026-04-29 20:30:00,CUSCO,1.53,2.47,0.94,61.44,Choclo,CHOCLO PARDO,manual_upload,61.44,-0.24,False
2025-12-14,2026-04-29 20:30:00,CUSCO,2.14,2.65,0.51,23.83,Choclo,CHOCLO PARDO,manual_upload,23.83,-0.76,False
2025-12-21,2026-04-29 20:30:00,CUSCO,1.81,2.4,0.59,32.6,Choclo,CHOCLO PARDO,manual_upload,32.6,-0.43,False
2025-12-28,2026-04-29 20:30:00,CUSCO,2.01,2.98,0.97,48.26,Choclo,CHOCLO PARDO,manual_upload,48.26,0.77,False
2026-01-04,2026-04-29 20:30:00,CUSCO,2.41,3.29,0.88,36.51,Choclo,CHOCLO PARDO,manual_upload,36.51,-1.46,False
2026-01-11,2026-04-29 20:30:00,CUSCO,1.75,2.81,1.06,60.57,Choclo,CHOCLO PARDO,manual_upload,60.57,-1.15,False
2026-01-18,2026-04-29 20:30:00,CUSCO,1.91,2.8,0.89,46.6,Choclo,CHOCLO PARDO,manual_upload,46.6,-1.36,False
2026-01-25,2026-04-29 20:30:00,CUSCO,2.26,3.07,0.81,35.84,Choclo,CHOCLO PARDO,manual_upload,35.84,-1.38,False
2026-02-01,2026-04-29 20:30:00,CUSCO,1.73,2.11,0.38,21.97,Choclo,CHOCLO PARDO,manual_upload,21.97,1.07,False
2026-02-08,2026-04-29 20:30:00,CUSCO,1.58,2.21,0.63,39.87,Choclo,CHOCLO PARDO,manual_upload,39.87,0.61,False
2026-02-15,2026-04-29 20:30:00,CUSCO,1.79,2.33,0.54,30.17,Choclo,CHOCLO PARDO,manual_upload,30.17,-0.08,False
2026-02-22,2026-04-29 20:30:00,CUSCO,1.66,2.18,0.52,31.33,Choclo,CHOCLO PARDO,manual_upload,31.33,-1.21,False
2026-03-01,2026-04-29 20:30:00,CUSCO,2.43,3.61,1.18,48.56,Choclo,CHOCLO PARDO,manual_upload,48.56,-0.03,False
2026-03-08,2026-04-29 20:30:00,CUSCO,2.31,2.96,0.65,28.14,Choclo,CHOCLO PARDO,manual_upload,28.14,-0.08,False
